name,countValue
catSin.case1,39
catSin.case2,14
catSin.case3,1
cont.main,32
cont.ordcattry,22
cont.ordcattry.ordcat,22
excluded.catSin,3
excluded.int,4
int.catord,6
int.continuous,48
int.onevalue,2
notinphenofile,10
ordCat,67
ordCat.noconverge,1
start.catSin,54
start.cont,6
start.int,56
success.binary,1
success.continuous,32
success.ordCat,66
success.unordCat,14
