name,countValue
catSin.case1,15
catSin.case2,19
catSin.case3,4
cont.main,113
cont.ordcattry,34
cont.ordcattry.ordcat,34
excluded.catMul,2
excluded.catSin,6
excluded.cont,50
excluded.int,8
int.continuous,9
notinphenofile,5
ordCat,49
start.catSin,38
start.cont,138
start.int,9
success.binary,4
success.continuous,113
success.ordCat,49
success.unordCat,15
unordCat.500,4
