name,countValue
catMul.binary,81
catMul.over10,81
catSin.case1,4
catSin.case2,5
catSin.case3,1
cont.main,8
cont.ordcattry,3
cont.ordcattry.binsbinary,1
cont.ordcattry.ordcat,2
excluded.catSin,2
int.continuous,11
notinphenofile,5
ordCat,6
start.catMul,13
start.catSin,10
start.int,11
success.binary,83
success.continuous,8
success.ordCat,6
success.unordCat,5
