name,countValue
catSin.case1,2
catSin.case2,29
catSin.case3,13
cont.main,28
cont.main.500,1
cont.onevalue,2
cont.ordcattry,5
cont.ordcattry.binsbinary,2
cont.ordcattry.ordcat,3
excluded.catMul,1
int.catord,11
int.continuous,13
notinphenofile,9
ordCat,16
start.catSin,44
start.cont,22
start.int,24
success.binary,15
success.continuous,27
success.ordCat,16
success.unordCat,29
