varName,varType,n,beta,lower,upper,pvalue
"5182-1",CAT-SIN,59974/60051,-999,-999,-999,0.396171064742079
"5182-1#3",CAT-SIN,59974#35,0.202951932174163,-0.129816065287098,0.535719929635424,0.231945322113053
"5182-1#2",CAT-SIN,59974#42,0.10083378039714,-0.202133237575516,0.403800798369797,0.514196606627592
"5185-1",CAT-SIN,59712/59921,-999,-999,-999,0.342720797649498
"5185-1#6",CAT-SIN,59712#26,0.28711949644677,-0.0974743441202414,0.671713337013782,0.143408276033402
"5185-1#7",CAT-SIN,59712#183,-0.00198483189465515,-0.147686011415991,0.143716347626681,0.978699136108048
"5187-1",CAT-SIN,59683/59914,-999,-999,-999,0.485564009480293
"5187-1#7",CAT-SIN,59683#202,0.0202387425483221,-0.11813272307659,0.158610208173234,0.774363580193184
"5187-1#6",CAT-SIN,59683#29,0.216462300469844,-0.14661149294665,0.579536093886339,0.242597827410067
"5189-1",CAT-SIN,58201/59262,-999,-999,-999,0.287414323683807
"5189-1#7",CAT-SIN,58201#721,0.00800848435912437,-0.0656053472487946,0.0816223159670433,0.831151133883311
"5189-1#6",CAT-SIN,58201#340,-0.0851415937721791,-0.191938047355082,0.0216548598107242,0.118159228544059
"5191-1",CAT-SIN,58008/59253,-999,-999,-999,0.301190288056185
"5191-1#7",CAT-SIN,58008#782,-0.00266713124888271,-0.0733163944275569,0.0679821319297915,0.941016740652771
"5191-1#6",CAT-SIN,58008#463,-0.0723248816026031,-0.163899955059587,0.0192501918543805,0.121632946386504
"5194-1",CAT-SIN,57097/59262,-999,-999,-999,0.360536869034262
"5194-1#7",CAT-SIN,57097#1267,0.0179269574683398,-0.0378859601449244,0.0737398750816041,0.528998793265339
"5194-1#6",CAT-SIN,57097#898,-0.0427746536793939,-0.108827494985182,0.0232781876263939,0.204356167627068
"5196-1",CAT-SIN,57022/59253,-999,-999,-999,0.825276365972285
"5196-1#7",CAT-SIN,57022#1312,-0.0057115695662559,-0.0605864428546527,0.0491633037221409,0.838353548834733
"5196-1#6",CAT-SIN,57022#919,-0.0196671299680067,-0.0849708889721049,0.0456366290360915,0.555009478516212
"5324-0",CAT-SIN,3005/4283,-999,-999,-999,0.268278888260743
"5324-0#3",CAT-SIN,3005#240,-0.0691121793643983,-0.201462219482709,0.0632378607539129,0.306081796288835
"5324-0#2",CAT-SIN,3005#292,-0.104420560318388,-0.225783904038099,0.0169427834013229,0.0917292579306634
"5324-0#4",CAT-SIN,3005#746,0.0071070346316427,-0.0769297510265297,0.0911438202898151,0.868349625063308
"5325-0",CAT-SIN,3105/4228,-999,-999,-999,0.310163573796415
"5325-0#4",CAT-SIN,3105#854,0.00473357775999038,-0.0759344578809908,0.0854016134009715,0.908437086246556
"5325-0#2",CAT-SIN,3105#137,0.158901312812498,-0.0113337709841247,0.32913639660912,0.0673284633042197
"5325-0#3",CAT-SIN,3105#132,-0.036470535559456,-0.210625094758967,0.137684023640055,0.681479254678651
"5326-0",CAT-SIN,4210/4279,-999,-999,-999,0.642810919443366
"5326-0#3",CAT-SIN,4210#16,0.169119410946289,-0.32309688091456,0.661335702807138,0.500680568573136
"5326-0#4",CAT-SIN,4210#30,0.154119543403313,-0.201714897727092,0.509953984533718,0.395935535568471
"5326-0#2",CAT-SIN,4210#23,-0.145834287113655,-0.553616404515128,0.261947830287818,0.483341756410512
"5327-0",CAT-SIN,4127/4276,-999,-999,-999,0.0850845149615826
"5327-0#4",CAT-SIN,4127#109,-0.132566724691335,-0.325122453204827,0.0599890038221578,0.177223015981792
"5327-0#3",CAT-SIN,4127#19,0.483206094134477,0.0330591831645346,0.93335300510442,0.0353866950391271
"5327-0#2",CAT-SIN,4127#21,0.117915625142287,-0.30429582631185,0.540127076596424,0.584117246621856
"5328-0",CAT-SIN,4166/4277,-999,-999,-999,0.743472550101214
"5328-0#2",CAT-SIN,4166#46,0.160778274466143,-0.13021493077957,0.451771479711856,0.278848104984629
"5328-0#4",CAT-SIN,4166#27,0.0375240727948161,-0.33712744293543,0.412175588525062,0.844371729206004
"5328-0#3",CAT-SIN,4166#38,-0.0271509284451752,-0.345904432186378,0.291602575296027,0.867411996496581
"5408-2",CAT-SIN,1265/2229,-999,-999,-999,0.734112899760437
"5408-2#1",CAT-SIN,1265#856,-0.0192818256964979,-0.10758101208467,0.0690173606916742,0.668654153441232
"5408-2#3",CAT-SIN,1265#108,-0.0734397808155687,-0.271834488581083,0.124954926949946,0.468133088874836
