ancestry	pgsMethod		BAGenigma_R2	BAGenigma_estimate	BAGenigma_statistic	BAGenigma_n	BAGenigma_p.value		BAGjawinski_R2	BAGjawinski_estimate	BAGjawinski_statistic	BAGjawinski_n	BAGjawinski_p.value
EUR	brainageFactor		0.0400594864464609	0.20014866086602	8.51148598892575	1738	5.30922567757403e-17		0.0598017278656483	0.24454391807127	11.2731395655237	2000	2.23393602551529e-28
EUR	enigma		0.0829745628188863	0.288053055562489	12.5330466309156	1738	3.21923983127245e-34		0.00408743604048364	0.0639330590577648	2.86360176412093	2000	0.00440785497276131
EUR	jawinski		0.0109930633943283	0.104847810632022	4.39273048288836	1738	1.31740674875205e-05		0.0887286372283688	0.297873525558027	13.9478024088549	2000	6.73820174270165e-42
EUR	kaufmann		0.0116371972023621	0.107875841606738	4.52106614740802	1738	7.33393419935517e-06		0.00803219196146637	0.089622496960676	4.02222158526714	2000	6.45610705505093e-05
EUR	leonardsen		0.00153436516580497	0.0391709735110703	1.6333252071769	1738	0.104381053088773		0.0402233742675369	0.200557658212138	9.15064921948808	2000	1.97106436131057e-19
EUR	smith		0.00269104226768335	0.0518752567963124	2.16431395704026	1738	0.0314524567781438		0.00748815875393467	0.0865341479066771	3.88255319832903	2000	0.000114656982741025
EUR	wen		0.012205191442086	0.110477108226483	4.63141596805663	1738	4.3788914415293e-06		0.0365807431309892	0.191260929441925	8.70996364897863	2000	8.78021235031838e-18
													
AFR	brainageFactor		0.00731284849161574	0.0855151945072672	1.52090438322096	316	0.140157249421272		0.00505924092490346	0.0711283412213687	1.30516816707426	337	0.204437105182006
AFR	enigma		0.0124001942122642	0.111356159291995	1.98558539489278	316	0.0544237140725418		0.000160571757255404	-0.012671691175822	-0.231948652657431	337	0.821356889650702
AFR	jawinski		0.0119157830267141	0.109159438559907	1.94593861491592	316	0.0593928265124564		0.0187259625075736	0.136842838714978	2.52842062341456	337	0.0142905790309652
AFR	kaufmann		0.000260213716320116	0.0161311411970795	0.285881747875557	316	0.781178770125615		0.000461059076523205	0.0214722862435094	0.39309799829922	337	0.70198008515918
AFR	leonardsen		2.93108547929718e-05	-0.00541395001759083	-0.0959368447392865	316	0.925725207519615		0.00816244812174492	0.0903462678905162	1.66039855598731	337	0.106714272895011
AFR	smith		0.000180495545959931	-0.0134348630793146	-0.238087868174312	316	0.817044559901251		0.00327356123496995	0.0572150437819456	1.04892551318924	337	0.307574526074003
AFR	wen		0.00647941216455267	0.0804947958849059	1.43101501939192	316	0.165043050413113		0.00254095450235041	0.0504078813515348	0.9237901162183	337	0.368777105050917
													
CSA	brainageFactor		0.00791637013284413	0.0889739857084312	2.15871509118437	586	0.0338458659345002		0.0211731061748998	0.145509814702995	3.7090945037585	638	0.000274591824906724
CSA	enigma		0.0268951527208021	0.16399741681137	4.01757148521051	586	8.49512965839967e-05		0.00199565678474434	0.0446727745360006	1.12773035029991	638	0.266330875110391
CSA	jawinski		0.00317526722325044	0.0563495095209394	1.36391454650209	586	0.179512918551196		0.0404795554779027	0.201195316739487	5.17987534931564	638	4.29388418075912e-07
CSA	kaufmann		0.00367226009620132	0.0605991757056259	1.46714159248144	586	0.148833501047026		0.00113584132062788	0.0337022450383929	0.850421389164369	638	0.401805132820192
CSA	leonardsen		0.00557375944116716	0.0746576147567491	1.80923194010145	586	0.0751693543692426		0.0306304509499467	0.175015573449755	4.48291564298702	638	1.15200713363037e-05
CSA	smith		0.000974926166528684	0.0312238076878635	0.754925495572511	586	0.457271393316994		0.00530507328265552	0.0728359340068865	1.84174415448099	638	0.0697062293324648
CSA	wen		6.90064628379982e-08	0.000262690812245115	0.00634821054143103	586	0.995011360002514		0.000533966710382189	0.0231077197140304	0.582910165709358	638	0.565454989186351
													
EAS	brainageFactor		0.0304515638309302	0.174503764517933	2.90667305827214	271	0.00528964490227357		0.05824781561144	0.241345842333031	4.22785831688819	291	5.42429139476522e-05
EAS	enigma		0.0156911984810243	0.12526451405336	2.07080170412428	271	0.0461080175506874		0.0103396414909791	0.101684027708284	1.73763507465409	291	0.0929900066483944
EAS	jawinski		0.0231287168383415	0.152081283655621	2.52367391083666	271	0.01526839729071		0.0722277087881492	0.268752132620653	4.7432950664605	291	6.4347006393774e-06
EAS	kaufmann		0.0139773647332447	0.118225905508246	1.95274415542199	271	0.0599010840508435		0.00408731984208437	0.0639321503008023	1.08907453203042	291	0.2916510805846
EAS	leonardsen		0.0588339429458239	0.242557092136725	4.10069047516156	271	9.41738430434909e-05		0.0255027059702955	0.159695666723601	2.75012057035192	291	0.00808817949952965
EAS	smith		0.0041865715339111	0.0647037211751465	1.06344836747053	271	0.304327224253551		0.0134763799711115	0.116087811466629	1.9869264960854	291	0.0549458412872764
EAS	wen		0.0140663631869026	0.118601699763969	1.9590395844958	271	0.0590871789307078		0.0355614081041703	0.188577326590898	3.26438298719823	291	0.00171609347750641
													
