name,countValue
catMul.10,1
catMul.binary,111
catMul.over10,110
catSin.case2,20
catSin.case3,3
catSin.onevalue,3
catSinToCatMul,6
cont.main,15
cont.ordcattry,3
cont.ordcattry.ordcat,3
excluded.catSin,2
excluded.int,2
int.catord,5
int.continuous,10
notinphenofile,29
ordCat,8
ordCat.noconverge,1
start.catMul,16
start.catSin,26
start.cont,8
start.int,16
success.binary,113
success.continuous,15
success.ordCat,7
success.unordCat,19
unordCat.500,1
