name,countValue
binary.noconverge,1
catMul.10,675
catMul.binary,1254
catMul.over10,579
catSinToCatMul,4
cont.main,29
excluded.catMul,8
excluded.catSin,134
excluded.int,2
int.catord,1
notinphenofile,35
ordCat,1
start.catMul,4
start.cont,29
start.int,1
success.binary,578
success.continuous,29
success.ordCat,1
