name,countValue
catSin.case3,32
catSin.onevalue,4
cont.main,85
cont.ordcattry,6
cont.ordcattry.ordcat,6
excluded.catSin,23
excluded.int,12
int.continuous,3
int.onevalue,31
notinphenofile,294
ordCat,6
start.catSin,36
start.cont,88
start.int,37
success.binary,32
success.continuous,85
success.ordCat,6
