name,countValue
binary.500,20
catMul.10,6
catMul.binary,109
catMul.over10,103
catSin.case2,1
catSin.case3,3
catSin.onevalue,13
cont.main,4
cont.main.500,3
cont.ordcattry,1
cont.ordcattry.ordcat,1
excluded.catSin,1
int.binary,1
int.continuous,5
int.onevalue,10
notinphenofile,3
ordCat,1
start.catMul,19
start.catSin,19
start.int,31
success.binary,87
success.continuous,1
success.ordCat,1
success.unordCat,1
