name,countValue
catMul.binary,108
catMul.over10,108
catSin.case1,1
cont.main,5
excluded.catSin,25
excluded.cont,2
excluded.int,3
int.catord,1
int.continuous,1
int.onevalue,1
notinphenofile,2
ordCat,2
start.catMul,14
start.catSin,1
start.cont,4
start.int,3
success.binary,108
success.continuous,5
success.ordCat,2
