varName,varType,n,beta,lower,upper,pvalue
"4979-4",CAT-SIN,41251/69829,-999,-999,-999,0.178432896766483
"4979-4#5",CAT-SIN,41251#3587,0.031698956898435,-0.00240958472613487,0.0658074985230049,0.0685304178266553
"4979-4#1",CAT-SIN,41251#8271,0.0172327554952361,-0.00639935772482492,0.0408648687152972,0.152939901366298
"4979-4#3",CAT-SIN,41251#10340,-0.00768436042780648,-0.0293078562465441,0.0139391353909311,0.486106931551727
"4979-4#2",CAT-SIN,41251#6380,-0.00229999458168897,-0.0287759774484128,0.0241759882850349,0.864802527673574
"4990-69",CAT-SIN,51415/67440,-999,-999,-999,0.608671308984551
"4990-69#70",CAT-SIN,51415#14851,0.00961748184252536,-0.00868037055207905,0.0279153342371298,0.302929711448204
"4990-69#68",CAT-SIN,51415#375,-0.00299696877126275,-0.104635464286985,0.0986415267444592,0.953913848829195
"4990-69#71",CAT-SIN,51415#369,0.0683061159244689,-0.0341125836448928,0.170724815493831,0.191158709484922
"4990-69#72",CAT-SIN,51415#430,0.0105680014777987,-0.0843758978723453,0.105511900827943,0.827304932303776
"5001-3",CAT-SIN,54827/62891,-999,-999,-999,0.747007466675616
"5001-3#1",CAT-SIN,54827#5638,0.00544431302767708,-0.0220351070133987,0.0329237330687529,0.697783302672578
"5001-3#2",CAT-SIN,54827#1096,0.0152122426345188,-0.0446495771688753,0.0750740624379129,0.618433867577959
"5001-3#4",CAT-SIN,54827#586,-0.0152967169797825,-0.096922718176012,0.0663292842164471,0.713397226616237
"5001-3#5",CAT-SIN,54827#744,-0.0433086849848489,-0.115913694107867,0.0292963241381689,0.242358091606655
"5012-26",CAT-SIN,35775/47120,-999,-999,-999,0.376104463104651
"5012-26#25",CAT-SIN,35775#5462,0.0198383445726352,-0.00878672205001773,0.0484634111952882,0.174357287267199
"5012-26#27",CAT-SIN,35775#2351,0.0294534197390844,-0.0123704614677958,0.0712773009459647,0.167507992278779
"5012-26#28",CAT-SIN,35775#1334,-0.00215965984123666,-0.0569366936655646,0.0526173739830913,0.938405356261635
"5012-26#29",CAT-SIN,35775#2198,0.0229490976991335,-0.0202336043281106,0.0661317997263776,0.29759391918744
