name,countValue
catMul.binary,10
catMul.over10,10
catSin.case3,24
catSin.onevalue,5
catSinToCatMul,2
cont.main,87
cont.main.500,13
cont.ordcattry,10
cont.ordcattry.ordcat,10
excluded.catSin,8
excluded.int,1
int.continuous,53
notinphenofile,2
ordCat,10
start.catMul,2
start.catSin,29
start.cont,44
start.int,54
success.binary,34
success.continuous,74
success.ordCat,10
