varName,varType,n,beta,lower,upper,pvalue
"5158",CONTINUOUS,30621,-0.00576402209782208,-0.0169164855963557,0.0053884414007115,0.311056306451254
"5159",CONTINUOUS,55217,0.00588449039265143,-0.0024117788517548,0.0141807596370577,0.164467588605511
"5160",CONTINUOUS,55234,0.0036400870905616,-0.00453191262605929,0.0118120868071825,0.382637512000753
"5161",CONTINUOUS,30670,0.0104797645668075,-0.000497068385473341,0.0214565975190882,0.0613152410207095
"5162",CONTINUOUS,30189,0.00677046704505628,-0.00433700987191269,0.0178779439620253,0.23220305461117
"5163",CONTINUOUS,55086,0.00452272001418927,-0.00368545436298945,0.012730894391368,0.280161295391704
"5186",INTEGER,59921,0.00335970648050753,-0.00460078917270481,0.0113202021337199,0.408118838218112
"5188",INTEGER,59914,0.00645385474612321,-0.00148321807746971,0.0143909275697161,0.111001024594402
"5190",INTEGER,59262,0.00454379401968944,-0.00343744848732908,0.012525036526708,0.26449167110336
"5193",INTEGER,59253,0.0060031139382025,-0.00197608511287116,0.0139823129892762,0.140325408931126
"5198",INTEGER,60054,-0.00548359099252991,-0.0134355763405483,0.00246839435548843,0.176510248883598
"5201",CONTINUOUS,59228,0.00484912419882173,-0.00297657938396312,0.0126748277816066,0.224562372881102
"5208",CONTINUOUS,59207,0.00857398878924054,0.000733357228788416,0.0164146203496927,0.0320907545169489
"5254",CONTINUOUS,57096,0.0113044403320979,0.00319105674184158,0.0194178239223543,0.00631827584496252
"5255",CONTINUOUS,57096,0.0120648715184989,0.00388292526187027,0.0202468177751275,0.00385178657264225
"5256",CONTINUOUS,57096,-0.00245878328769567,-0.0105558814020559,0.00563831482666451,0.551725680324269
"5257",CONTINUOUS,57096,0.00448793965760975,-0.00368261306531205,0.0126584923805315,0.281665219764023
"5262",CONTINUOUS,57021,0.00754165050711556,-0.000554412162930188,0.0156377131771613,0.0678877437315986
"5263",CONTINUOUS,57021,0.00733387782768718,-0.000837855133538494,0.0155056107889128,0.0785753211176075
"5264",CONTINUOUS,57021,-0.00155616763979139,-0.00965851379687951,0.00654617851729672,0.706586618239279
"5265",CONTINUOUS,57021,0.00298548505275803,-0.0051913718782509,0.011162341983767,0.474225547805372
"5375",INTEGER,24215,0.00149980278482943,-0.0110832979494193,0.0140829035190781,0.815279354695767
"5901",INTEGER,794,0.030313080919539,-0.02631682760528,0.086942989444358,0.293690164140371
"5923",INTEGER,667,-0.00315191371312108,-0.055238335036712,0.0489345076104698,0.905451249546222
"5945",INTEGER,1252,0.00472486486092619,-0.0423736935720193,0.0518234232938717,0.844005771758696
"5983",INTEGER,40110,0.00818936725536558,-0.00147525901641848,0.0178539935271496,0.0967544116142059
"5984",INTEGER,40151,-0.0123779795244732,-0.0198704268378395,-0.00488553221110689,0.00120435814658963
